iter	Passed	Remaining
0	19	4832
1	40	4858
2	59	4731
3	76	4575
4	95	4549
5	116	4616
6	137	4634
7	161	4729
8	186	4847
9	210	4903
10	228	4817
11	247	4755
12	266	4710
13	286	4681
14	307	4674
15	327	4644
16	345	4597
17	364	4557
18	382	4512
19	403	4494
20	420	4444
21	438	4408
22	457	4377
23	478	4363
24	495	4324
25	514	4294
26	543	4350
27	569	4369
28	589	4351
29	613	4353
30	630	4311
31	650	4285
32	671	4273
33	690	4244
34	709	4218
35	730	4202
36	751	4185
37	770	4158
38	795	4163
39	819	4160
40	848	4180
41	869	4161
42	891	4147
43	909	4111
44	929	4090
45	947	4057
46	965	4028
47	984	3997
48	1004	3977
49	1026	3963
50	1050	3953
51	1070	3930
52	1090	3909
53	1109	3884
54	1127	3854
55	1145	3824
56	1162	3792
57	1186	3783
58	1204	3755
59	1220	3723
60	1239	3696
61	1257	3671
62	1278	3652
63	1297	3627
64	1322	3622
65	1348	3617
66	1375	3612
67	1395	3592
68	1416	3571
69	1434	3544
70	1453	3521
71	1473	3499
72	1490	3470
73	1508	3445
74	1527	3420
75	1557	3423
76	1582	3412
77	1605	3395
78	1623	3370
79	1644	3350
80	1663	3326
81	1682	3302
82	1700	3279
83	1718	3252
84	1740	3234
85	1757	3207
86	1775	3183
87	1792	3157
88	1813	3137
89	1829	3110
90	1850	3091
91	1871	3072
92	1893	3053
93	1911	3029
94	1931	3009
95	1954	2992
96	1981	2982
97	2005	2966
98	2027	2948
99	2047	2928
100	2067	2906
101	2087	2885
102	2107	2864
103	2125	2840
104	2145	2819
105	2163	2796
106	2181	2772
107	2200	2750
108	2222	2732
109	2243	2712
110	2263	2691
111	2282	2669
112	2306	2653
113	2324	2629
114	2344	2610
115	2366	2590
116	2390	2574
117	2413	2556
118	2439	2541
119	2463	2524
120	2480	2501
121	2501	2480
122	2518	2457
123	2548	2445
124	2574	2430
125	2598	2412
126	2616	2389
127	2636	2368
128	2658	2349
129	2679	2329
130	2698	2306
131	2717	2284
132	2739	2265
133	2758	2243
134	2776	2220
135	2795	2199
136	2813	2176
137	2833	2155
138	2849	2132
139	2871	2112
140	2956	2138
141	2998	2132
142	3024	2115
143	3048	2096
144	3067	2073
145	3086	2050
146	3107	2029
147	3127	2007
148	3145	1984
149	3166	1963
150	3188	1942
151	3209	1921
152	3229	1899
153	3250	1878
154	3268	1855
155	3291	1835
156	3312	1814
157	3333	1793
158	3351	1770
159	3371	1748
160	3391	1727
161	3411	1705
162	3432	1684
163	3456	1664
164	3485	1647
165	3504	1625
166	3525	1604
167	3557	1588
168	3577	1566
169	3598	1545
170	3619	1524
171	3639	1502
172	3659	1480
173	3681	1459
174	3702	1438
175	3722	1417
176	3744	1396
177	3765	1374
178	3785	1353
179	3807	1332
180	3824	1310
181	3843	1288
182	3863	1266
183	3885	1245
184	3908	1225
185	3929	1204
186	3953	1183
187	3979	1164
188	4005	1144
189	4025	1122
190	4042	1100
191	4064	1079
192	4082	1057
193	4105	1036
194	4125	1015
195	4144	993
196	4163	972
197	4184	950
198	4206	930
199	4227	909
200	4245	887
201	4263	865
202	4285	844
203	4302	822
204	4321	801
205	4342	779
206	4362	758
207	4380	737
208	4400	715
209	4419	694
210	4439	673
211	4465	652
212	4488	632
213	4514	611
214	4546	592
215	4569	571
216	4591	550
217	4612	528
218	4631	507
219	4652	486
220	4670	464
221	4691	443
222	4712	422
223	4729	401
224	4746	379
225	4769	358
226	4790	337
227	4811	316
228	4831	295
229	4851	274
230	4867	252
231	4896	232
232	4924	211
233	4945	190
234	4962	168
235	4980	147
236	4999	126
237	5016	105
238	5035	84
239	5057	63
240	5077	42
241	5097	21
242	5117	0
